Merchant,Country,Location,Day,Local Time,Local Currency,Local Currency Transaction Value,Card Currency,Payment Amount,Margin Income F,Margin Income A
MerchantX,Norway,Stavanger,Monday,8:00,NOK,50.92,EUR,50.92,0.51,1.53
AlphaPay,France,Strasbourg,Thursday,9:00,EUR,403.99,GBP,475.29,4.75,14.26
GlobalMart,UK,Birmingham,Wednesday,10:00,GBP,278.76,AUD,168.94,1.69,5.07
PaySphere,Vietnam,Hai Phong,Friday,6:00,VND,233.69,AED,57.7,0.58,1.73
QuickServe,UAE,Al Ain,Thursday,14:00,AED,122.91,EUR,122.91,1.23,3.69
FinEdge,Denmark,Copenhagen,Saturday,8:00,DKK,9.15,GBP,10.76,0.11,0.32
Transactly,Australia,Melbourne,Wednesday,13:00,AUD,190.03,GBP,223.57,2.24,6.71
Cashwave,Brazil,Salvador,Sunday,0:00,BRL,49.66,AUD,30.09,0.3,0.9
NeoCommerce,Brazil,Fortaleza,Saturday,8:00,BRL,241.04,GBP,283.57,2.84,8.51
EuroLink,Brazil,Fortaleza,Monday,10:00,BRL,183.67,USD,166.97,1.67,5.01
SmartFunds,UAE,Dubai,Monday,15:00,AED,297.16,USD,270.14,2.7,8.1
TradeNova,USA,Los Angeles,Tuesday,4:00,USD,23.65,AUD,14.33,0.14,0.43
NovaPay,Australia,Darwin,Saturday,11:00,AUD,493.66,USD,448.78,4.49,13.46
BuyNet,Germany,Leipzig,Saturday,0:00,EUR,273,AUD,165.46,1.65,4.96
FlexiPay,Japan,Nagoya,Friday,14:00,JPY,58.2,AED,14.37,0.14,0.43
MerchantX,Germany,Frankfurt,Friday,2:00,EUR,205.04,GBP,241.22,2.41,7.24
AlphaPay,France,Bordeaux,Tuesday,15:00,EUR,144.9,USD,131.73,1.32,3.95
GlobalMart,Thailand,Pattaya,Tuesday,4:00,THB,361.82,EUR,361.82,3.62,10.85
PaySphere,Ireland,Cork,Friday,20:00,EUR,360.75,USD,327.96,3.28,9.84
QuickServe,Vietnam,Ho Chi Minh City,Saturday,12:00,VND,706.11,AUD,427.95,4.28,12.84
FinEdge,Singapore,Singapore,Saturday,13:00,SGD,291.01,AED,71.86,0.72,2.16
Transactly,Malaysia,George Town,Wednesday,13:00,MYR,143.17,USD,130.15,1.3,3.9
Cashwave,Switzerland,Lausanne,Tuesday,22:00,CHF,338.22,USD,307.47,3.07,9.22
NeoCommerce,Malaysia,George Town,Thursday,9:00,MYR,469.47,GBP,552.32,5.52,16.57
EuroLink,USA,Chicago,Friday,18:00,USD,331.02,EUR,331.02,3.31,9.93
SmartFunds,Switzerland,Bern,Friday,12:00,CHF,33.63,EUR,33.63,0.34,1.01
TradeNova,China,Chengdu,Sunday,18:00,CNY,307.84,AED,76.01,0.76,2.28
NovaPay,USA,Houston,Sunday,12:00,USD,404.37,EUR,404.37,4.04,12.13
BuyNet,Spain,Valencia,Friday,4:00,EUR,212.07,AED,52.36,0.52,1.57
FlexiPay,UAE,Dubai,Wednesday,13:00,AED,2417.96,EUR,2417.96,24.18,72.54
MerchantX,Singapore,Singapore,Thursday,19:00,SGD,405.45,GBP,477,4.77,14.31
AlphaPay,Spain,Seville,Wednesday,16:00,EUR,279.14,USD,253.77,2.54,7.61
GlobalMart,Italy,Naples,Saturday,17:00,EUR,256.45,USD,233.14,2.33,6.99
PaySphere,Ireland,Cork,Thursday,9:00,EUR,170.84,USD,155.31,1.55,4.66
QuickServe,Netherlands,Eindhoven,Thursday,15:00,EUR,53.52,AED,13.21,0.13,0.4
FinEdge,Canada,Edmonton,Tuesday,10:00,CAD,457.22,EUR,457.22,4.57,13.72
Transactly,USA,Chicago,Monday,9:00,USD,6.84,GBP,8.05,0.08,0.24
Cashwave,Switzerland,Geneva,Tuesday,23:00,CHF,5.92,AED,1.46,0.01,0.04
NeoCommerce,Malaysia,Kuching,Tuesday,14:00,MYR,160.9,GBP,189.29,1.89,5.68
EuroLink,Spain,Las Palmas,Tuesday,10:00,EUR,392.89,AED,97.01,0.97,2.91
SmartFunds,Canada,Quebec City,Sunday,20:00,CAD,92.67,AUD,56.16,0.56,1.68
TradeNova,UK,Leeds,Tuesday,7:00,GBP,498.01,AED,122.96,1.23,3.69
NovaPay,China,Guangzhou,Monday,15:00,CNY,225.15,GBP,264.88,2.65,7.95
BuyNet,Mexico,Tijuana,Wednesday,12:00,MXN,247.38,GBP,291.03,2.91,8.73
FlexiPay,Mexico,Monterrey,Sunday,10:00,MXN,34.9,GBP,41.05,0.41,1.23
MerchantX,UK,Birmingham,Tuesday,10:00,GBP,413.61,EUR,413.61,4.14,12.41
AlphaPay,Thailand,Phuket,Thursday,21:00,THB,95.66,EUR,95.66,0.96,2.87
GlobalMart,Japan,Nagoya,Thursday,12:00,JPY,10.57,GBP,12.43,0.12,0.37
PaySphere,Vietnam,Hai Phong,Tuesday,14:00,VND,263.82,GBP,310.38,3.1,9.31
AlphaPay,Singapore,Singapore,Tuesday,11:00,SGD,137.68,GBP,161.98,1.62,4.86
GlobalMart,France,Lyon,Thursday,14:00,EUR,356.12,AUD,215.83,2.16,6.47
PaySphere,UK,Belfast,Sunday,14:00,GBP,349.67,EUR,349.67,3.5,10.49
QuickServe,China,Chengdu,Sunday,15:00,CNY,271.31,EUR,271.31,2.71,8.14
FinEdge,Australia,Melbourne,Friday,22:00,AUD,91.33,AED,22.55,0.23,0.68
Transactly,Ireland,Limerick,Friday,21:00,EUR,223.5,AUD,135.45,1.35,4.06
Cashwave,Vietnam,Can Tho,Monday,22:00,VND,30.12,EUR,30.12,0.3,0.9
NeoCommerce,Sweden,Uppsala,Monday,18:00,SEK,278.06,EUR,278.06,2.78,8.34
EuroLink,Sweden,Stockholm,Friday,10:00,SEK,213.23,AED,52.65,0.53,1.58
SmartFunds,UAE,Dubai,Tuesday,19:00,AED,18.6,GBP,21.88,0.22,0.66
TradeNova,Denmark,Copenhagen,Wednesday,18:00,DKK,451.39,AUD,273.57,2.74,8.21
NovaPay,Norway,Stavanger,Monday,17:00,NOK,336.16,GBP,395.48,3.95,11.86
BuyNet,Germany,Stuttgart,Wednesday,0:00,EUR,96.7,AUD,58.61,0.59,1.76
FlexiPay,Denmark,Aarhus,Sunday,13:00,DKK,8.89,AUD,5.39,0.05,0.16
MerchantX,UAE,Al Ain,Wednesday,5:00,AED,245.13,EUR,245.13,2.45,7.35
AlphaPay,Brazil,São Paulo,Sunday,20:00,BRL,317.76,USD,288.87,2.89,8.67
GlobalMart,Spain,Murcia,Thursday,12:00,EUR,469.92,GBP,552.84,5.53,16.59
PaySphere,China,Chengdu,Monday,9:00,CNY,213.76,GBP,251.48,2.51,7.54
QuickServe,UK,Cardiff,Monday,14:00,GBP,174.6,USD,158.72,1.59,4.76
FinEdge,France,Paris,Thursday,12:00,EUR,407.85,AUD,247.18,2.47,7.42
Transactly,Italy,Naples,Monday,13:00,EUR,266.82,AUD,161.71,1.62,4.85
Cashwave,Malaysia,Kuala Lumpur,Wednesday,16:00,MYR,285.11,GBP,335.42,3.35,10.06
NeoCommerce,Australia,Gold Coast,Friday,0:00,AUD,87.94,EUR,87.94,0.88,2.64
EuroLink,Spain,Murcia,Monday,15:00,EUR,418.43,AUD,253.6,2.54,7.61
SmartFunds,Sweden,Stockholm,Sunday,13:00,SEK,8.61,AED,2.13,0.02,0.06
TradeNova,China,Shanghai,Monday,7:00,CNY,32.33,USD,29.39,0.29,0.88
NovaPay,Norway,Stavanger,Friday,14:00,NOK,264.09,AUD,160.05,1.6,4.8
BuyNet,Thailand,Hat Yai,Monday,3:00,THB,408.44,AUD,247.54,2.48,7.43
FlexiPay,Brazil,São Paulo,Saturday,23:00,BRL,2042.24,GBP,2402.64,24.03,72.08
MerchantX,India,Hyderabad,Tuesday,21:00,INR,495,AED,122.22,1.22,3.67
AlphaPay,Japan,Osaka,Sunday,9:00,JPY,142.67,AED,35.23,0.35,1.06
GlobalMart,Vietnam,Da Nang,Friday,20:00,VND,2879.03,USD,2617.3,26.17,78.52
PaySphere,Mexico,Guadalajara,Saturday,15:00,MXN,173.54,EUR,173.54,1.74,5.21
QuickServe,Thailand,Hat Yai,Sunday,20:00,THB,63.97,USD,58.16,0.58,1.74
FinEdge,France,Nantes,Monday,18:00,EUR,129.32,AED,31.93,0.32,0.96
Transactly,Italy,Rome,Wednesday,7:00,EUR,55.83,AED,13.79,0.14,0.41
Cashwave,Australia,Sydney,Saturday,10:00,AUD,443.69,USD,403.35,4.03,12.1
NeoCommerce,South Africa,Cape Town,Saturday,9:00,ZAR,1233.26,AUD,747.43,7.47,22.42
EuroLink,Brazil,Salvador,Sunday,4:00,BRL,294.02,EUR,294.02,2.94,8.82
SmartFunds,France,Paris,Thursday,12:00,EUR,2396.38,GBP,2819.28,28.19,84.58
TradeNova,China,Shanghai,Monday,6:00,CNY,496.96,USD,451.78,4.52,13.55
NovaPay,Vietnam,Da Nang,Monday,18:00,VND,87.23,EUR,87.23,0.87,2.62
BuyNet,UAE,Ajman,Sunday,14:00,AED,233.1,USD,211.91,2.12,6.36
FlexiPay,Ireland,Galway,Wednesday,12:00,EUR,421.27,GBP,495.61,4.96,14.87
MerchantX,Denmark,Aarhus,Tuesday,19:00,DKK,356.77,AED,88.09,0.88,2.64
AlphaPay,Singapore,Singapore,Monday,18:00,SGD,340.25,AED,84.01,0.84,2.52
GlobalMart,Ireland,Limerick,Wednesday,6:00,EUR,127.01,AUD,76.98,0.77,2.31
PaySphere,Sweden,Stockholm,Wednesday,18:00,SEK,371.59,EUR,371.59,3.72,11.15
QuickServe,Germany,Berlin,Monday,13:00,EUR,349.91,AUD,212.07,2.12,6.36
FinEdge,Denmark,Esbjerg,Thursday,10:00,DKK,214.89,GBP,252.82,2.53,7.58
Transactly,Netherlands,Utrecht,Saturday,3:00,EUR,315.73,AUD,191.35,1.91,5.74
Cashwave,Netherlands,The Hague,Thursday,8:00,EUR,233,GBP,274.11,2.74,8.22
NeoCommerce,UK,Bristol,Monday,16:00,GBP,294.46,USD,267.69,2.68,8.03
EuroLink,UK,Manchester,Tuesday,12:00,GBP,19.01,EUR,19.01,0.19,0.57
SmartFunds,Switzerland,Zurich,Sunday,8:00,CHF,420.88,AED,103.92,1.04,3.12
TradeNova,South Africa,Port Elizabeth,Friday,6:00,ZAR,322.41,EUR,322.41,3.22,9.67
NovaPay,Norway,Trondheim,Saturday,20:00,NOK,497.66,GBP,585.49,5.85,17.56
BuyNet,Denmark,Copenhagen,Wednesday,4:00,DKK,146.67,AED,36.22,0.36,1.09
FlexiPay,China,Beijing,Tuesday,17:00,CNY,50.55,GBP,59.47,0.59,1.78
MerchantX,Australia,Sydney,Wednesday,22:00,AUD,386.69,EUR,386.69,3.87,11.6
AlphaPay,Italy,Verona,Saturday,23:00,EUR,27.35,GBP,32.17,0.32,0.97
GlobalMart,Sweden,Gothenburg,Tuesday,7:00,SEK,187.05,EUR,187.05,1.87,5.61
PaySphere,Vietnam,Hanoi,Wednesday,10:00,VND,386.04,GBP,454.17,4.54,13.63
QuickServe,Germany,Bremen,Wednesday,12:00,EUR,418.16,GBP,491.95,4.92,14.76
FinEdge,Malaysia,Kuala Lumpur,Thursday,12:00,MYR,403.69,USD,366.99,3.67,11.01
Transactly,UK,Leeds,Tuesday,23:00,GBP,64.53,USD,58.66,0.59,1.76
Cashwave,Mexico,Guadalajara,Tuesday,12:00,MXN,2921.29,USD,2655.71,26.56,79.67
NeoCommerce,Canada,Vancouver,Thursday,1:00,CAD,222.85,AUD,135.06,1.35,4.05
EuroLink,Spain,Valencia,Sunday,1:00,EUR,387.07,GBP,455.37,4.55,13.66
SmartFunds,USA,Los Angeles,Wednesday,0:00,USD,407.71,GBP,479.66,4.8,14.39
TradeNova,Brazil,Rio de Janeiro,Monday,6:00,BRL,74.42,GBP,87.56,0.88,2.63
NovaPay,Singapore,Singapore,Thursday,23:00,SGD,676.58,GBP,795.97,7.96,23.88
BuyNet,USA,Dallas,Saturday,6:00,USD,414.9,EUR,414.9,4.15,12.45
FlexiPay,Norway,Bergen,Monday,11:00,NOK,101.78,EUR,101.78,1.02,3.05
MerchantX,Vietnam,Can Tho,Thursday,20:00,VND,275.65,GBP,324.29,3.24,9.73
AlphaPay,Mexico,Guadalajara,Friday,11:00,MXN,353.94,AUD,214.51,2.15,6.44
GlobalMart,Sweden,Uppsala,Friday,11:00,SEK,70.81,EUR,70.81,0.71,2.12
PaySphere,Germany,Stuttgart,Thursday,18:00,EUR,132.58,USD,120.53,1.21,3.62
AlphaPay,Norway,Stavanger,Saturday,15:00,NOK,447.05,AUD,270.94,2.71,8.13
GlobalMart,Brazil,Salvador,Tuesday,18:00,BRL,105.92,USD,96.29,0.96,2.89
PaySphere,Vietnam,Hanoi,Saturday,20:00,VND,296.89,EUR,296.89,2.97,8.91
QuickServe,France,Toulouse,Wednesday,18:00,EUR,3452.59,AED,852.49,8.52,25.57
FinEdge,UK,Belfast,Thursday,9:00,GBP,207.79,AED,51.31,0.51,1.54
Transactly,Singapore,Singapore,Tuesday,21:00,SGD,331.63,AUD,200.99,2.01,6.03
Cashwave,UK,Manchester,Friday,14:00,GBP,199.28,AED,49.2,0.49,1.48
NeoCommerce,Japan,Fukuoka,Wednesday,8:00,JPY,68.04,AUD,41.23,0.41,1.24
EuroLink,Germany,Düsseldorf,Wednesday,13:00,EUR,40.06,USD,36.42,0.36,1.09
SmartFunds,South Africa,Pretoria,Sunday,16:00,ZAR,225.07,GBP,264.78,2.65,7.94
TradeNova,Brazil,Brasilia,Monday,4:00,BRL,427.65,USD,388.77,3.89,11.66
NovaPay,South Africa,Cape Town,Sunday,6:00,ZAR,72.29,AUD,43.81,0.44,1.31
BuyNet,Canada,Winnipeg,Friday,11:00,CAD,276.11,AED,68.18,0.68,2.05
FlexiPay,Thailand,Hat Yai,Saturday,1:00,THB,331.18,GBP,389.62,3.9,11.69
MerchantX,Denmark,Aalborg,Thursday,10:00,DKK,79.92,USD,72.65,0.73,2.18
AlphaPay,USA,New York,Tuesday,13:00,USD,395.99,AUD,240,2.4,7.2
GlobalMart,Thailand,Hat Yai,Saturday,14:00,THB,77.33,AED,19.09,0.19,0.57
PaySphere,Singapore,Singapore,Monday,23:00,SGD,466.6,EUR,466.6,4.67,14
QuickServe,Sweden,Västerås,Friday,3:00,SEK,445.91,AED,110.1,1.1,3.3
FinEdge,China,Shanghai,Sunday,22:00,CNY,479.54,EUR,479.54,4.8,14.39
Transactly,Norway,Tromsø,Tuesday,15:00,NOK,79.86,EUR,79.86,0.8,2.4
Cashwave,Malaysia,Ipoh,Friday,12:00,MYR,7.17,AUD,4.34,0.04,0.13
NeoCommerce,Sweden,Uppsala,Thursday,12:00,SEK,173.94,USD,158.13,1.58,4.74
EuroLink,Norway,Oslo,Monday,14:00,NOK,2189.41,EUR,2189.41,21.89,65.68
SmartFunds,Australia,Darwin,Tuesday,13:00,AUD,69,USD,62.73,0.63,1.88
TradeNova,Norway,Trondheim,Monday,22:00,NOK,39.72,AED,9.81,0.1,0.29
NovaPay,Germany,Berlin,Monday,15:00,EUR,384.65,USD,349.68,3.5,10.49
BuyNet,Ireland,Dublin,Saturday,4:00,EUR,241.08,USD,219.16,2.19,6.57
FlexiPay,Netherlands,Utrecht,Tuesday,7:00,EUR,68.61,GBP,80.72,0.81,2.42
MerchantX,Italy,Verona,Thursday,0:00,EUR,17.24,AED,4.26,0.04,0.13
AlphaPay,Ireland,Dublin,Saturday,17:00,EUR,33.26,AUD,20.16,0.2,0.6
GlobalMart,USA,Houston,Thursday,9:00,USD,139.09,EUR,139.09,1.39,4.17
PaySphere,USA,San Diego,Monday,9:00,USD,3110.05,GBP,3658.88,36.59,109.77
QuickServe,Japan,Nagoya,Sunday,12:00,JPY,114.35,EUR,114.35,1.14,3.43
FinEdge,India,Ahmedabad,Wednesday,8:00,INR,43.22,AUD,26.2,0.26,0.79
Transactly,Ireland,Dublin,Monday,20:00,EUR,407.41,GBP,479.31,4.79,14.38
Cashwave,Canada,Quebec City,Sunday,20:00,CAD,473.55,GBP,557.11,5.57,16.71
NeoCommerce,Malaysia,Kuching,Friday,21:00,MYR,149.39,AUD,90.54,0.91,2.72
EuroLink,Spain,Madrid,Sunday,20:00,EUR,284.46,AED,70.24,0.7,2.11
SmartFunds,China,Chengdu,Sunday,12:00,CNY,342.76,USD,311.6,3.12,9.35
TradeNova,Canada,Toronto,Monday,13:00,CAD,1187.85,EUR,1187.85,11.88,35.64
NovaPay,Denmark,Odense,Friday,13:00,DKK,110.74,GBP,130.28,1.3,3.91
BuyNet,Germany,Frankfurt,Friday,10:00,EUR,463.35,GBP,545.11,5.45,16.35
FlexiPay,Ireland,Cork,Friday,18:00,EUR,136.27,AED,33.65,0.34,1.01
MerchantX,Netherlands,Rotterdam,Saturday,14:00,EUR,287.45,AED,70.98,0.71,2.13
AlphaPay,Canada,Winnipeg,Sunday,8:00,CAD,290.2,USD,263.82,2.64,7.91
GlobalMart,China,Guangzhou,Monday,12:00,CNY,205.2,AED,50.67,0.51,1.52
PaySphere,China,Shanghai,Wednesday,7:00,CNY,492.08,AED,121.5,1.22,3.64
QuickServe,Norway,Tromsø,Friday,20:00,NOK,12.47,AUD,7.55,0.08,0.23
FinEdge,Ireland,Cork,Friday,8:00,EUR,21.32,GBP,25.08,0.25,0.75
Transactly,Canada,Montreal,Friday,6:00,CAD,490.47,GBP,577.03,5.77,17.31
Cashwave,Vietnam,Can Tho,Friday,15:00,VND,228.48,AED,56.42,0.56,1.69
NeoCommerce,Norway,Oslo,Thursday,0:00,NOK,427.9,GBP,503.41,5.03,15.1
EuroLink,Vietnam,Ho Chi Minh City,Wednesday,21:00,VND,147.25,EUR,147.25,1.47,4.42
SmartFunds,USA,Houston,Thursday,18:00,USD,484.51,GBP,570.01,5.7,17.1
TradeNova,Sweden,Gothenburg,Saturday,15:00,SEK,119.23,AED,29.44,0.29,0.88
NovaPay,USA,Phoenix,Saturday,21:00,USD,2152.56,GBP,2532.43,25.32,75.97
BuyNet,Thailand,Hat Yai,Thursday,11:00,THB,135.9,AED,33.55,0.34,1.01
FlexiPay,Vietnam,Da Nang,Friday,17:00,VND,116.82,GBP,137.44,1.37,4.12
MerchantX,Denmark,Esbjerg,Tuesday,6:00,DKK,343.61,EUR,343.61,3.44,10.31
AlphaPay,USA,San Diego,Sunday,3:00,USD,71.32,AED,17.61,0.18,0.53
GlobalMart,Malaysia,Ipoh,Tuesday,16:00,MYR,135.88,AED,33.55,0.34,1.01
PaySphere,India,Ahmedabad,Sunday,12:00,INR,3036.53,USD,2760.48,27.6,82.81
QuickServe,Sweden,Uppsala,Monday,18:00,SEK,173.17,AUD,104.95,1.05,3.15
FinEdge,Sweden,Stockholm,Tuesday,12:00,SEK,322.48,EUR,322.48,3.22,9.67
Transactly,France,Nantes,Tuesday,14:00,EUR,1624.96,AED,401.22,4.01,12.04
Cashwave,UK,Sheffield,Monday,8:00,GBP,364.33,AUD,220.81,2.21,6.62
NeoCommerce,Spain,Barcelona,Wednesday,22:00,EUR,47.26,AED,11.67,0.12,0.35
EuroLink,UK,Belfast,Friday,22:00,GBP,464.2,EUR,464.2,4.64,13.93
SmartFunds,Spain,Valencia,Tuesday,9:00,EUR,71.75,USD,65.23,0.65,1.96
TradeNova,Sweden,Stockholm,Monday,20:00,SEK,456.48,AED,112.71,1.13,3.38
NovaPay,Germany,Hamburg,Friday,23:00,EUR,361.35,AED,89.22,0.89,2.68
BuyNet,Canada,Winnipeg,Saturday,21:00,CAD,2572.1,GBP,3026.01,30.26,90.78
FlexiPay,Brazil,Fortaleza,Wednesday,22:00,BRL,60.1,EUR,60.1,0.6,1.8
MerchantX,Australia,Brisbane,Monday,21:00,AUD,154.76,USD,140.69,1.41,4.22
AlphaPay,Australia,Newcastle,Saturday,19:00,AUD,844.09,USD,767.35,7.67,23.02
GlobalMart,Germany,Cologne,Friday,8:00,EUR,86.5,GBP,101.77,1.02,3.05
PaySphere,Brazil,São Paulo,Tuesday,23:00,BRL,100.44,EUR,100.44,1,3.01
AlphaPay,Canada,Vancouver,Friday,17:00,CAD,59.67,GBP,70.2,0.7,2.11
GlobalMart,Brazil,Salvador,Saturday,9:00,BRL,34.37,USD,31.24,0.31,0.94
PaySphere,Vietnam,Hanoi,Wednesday,9:00,VND,59.1,GBP,69.52,0.7,2.09
QuickServe,Brazil,Brasilia,Tuesday,17:00,BRL,85.89,AUD,52.05,0.52,1.56
FinEdge,Ireland,Galway,Sunday,15:00,EUR,287.76,AUD,174.4,1.74,5.23
Transactly,Switzerland,Geneva,Monday,9:00,CHF,203.3,AED,50.2,0.5,1.51
Cashwave,Switzerland,Geneva,Monday,7:00,CHF,300.09,GBP,353.05,3.53,10.59
NeoCommerce,Brazil,Fortaleza,Wednesday,4:00,BRL,77.32,EUR,77.32,0.77,2.32
EuroLink,Denmark,Copenhagen,Tuesday,23:00,DKK,290.21,AED,71.66,0.72,2.15
SmartFunds,Mexico,Tijuana,Sunday,11:00,MXN,422.47,GBP,497.03,4.97,14.91
TradeNova,Switzerland,Geneva,Monday,5:00,CHF,74.65,AUD,45.24,0.45,1.36
NovaPay,Ireland,Waterford,Monday,3:00,EUR,87.57,GBP,103.02,1.03,3.09
BuyNet,Denmark,Copenhagen,Wednesday,8:00,DKK,68,USD,61.81,0.62,1.85
FlexiPay,Denmark,Odense,Sunday,13:00,DKK,37.88,EUR,37.88,0.38,1.14
MerchantX,Sweden,Malmö,Sunday,8:00,SEK,91.24,AED,22.53,0.23,0.68
AlphaPay,Italy,Bologna,Monday,8:00,EUR,3,AUD,1.82,0.02,0.05
GlobalMart,Japan,Sapporo,Thursday,1:00,JPY,454.93,GBP,535.21,5.35,16.06
PaySphere,Denmark,Esbjerg,Tuesday,18:00,DKK,470.71,GBP,553.77,5.54,16.61
QuickServe,Spain,Malaga,Tuesday,13:00,EUR,1015.64,GBP,1194.87,11.95,35.85
FinEdge,Sweden,Stockholm,Thursday,16:00,SEK,4229.25,USD,3844.77,38.45,115.34
Transactly,Norway,Bergen,Tuesday,11:00,NOK,148.63,AED,36.7,0.37,1.1
Cashwave,Netherlands,Nijmegen,Saturday,7:00,EUR,7.85,USD,7.13,0.07,0.21
NeoCommerce,Spain,Palma,Monday,12:00,EUR,92.55,AED,22.85,0.23,0.69
EuroLink,Brazil,São Paulo,Monday,12:00,BRL,433.58,USD,394.16,3.94,11.82
SmartFunds,Switzerland,Geneva,Monday,14:00,CHF,356.5,EUR,356.5,3.56,10.7
TradeNova,Australia,Gold Coast,Monday,10:00,AUD,283.39,GBP,333.39,3.33,10
NovaPay,China,Guangzhou,Thursday,16:00,CNY,99.95,EUR,99.95,1,3
BuyNet,Denmark,Aalborg,Thursday,15:00,DKK,333.45,AED,82.33,0.82,2.47
FlexiPay,UAE,Dubai,Sunday,6:00,AED,371.48,EUR,371.48,3.71,11.14
MerchantX,Denmark,Esbjerg,Saturday,15:00,DKK,221.68,EUR,221.68,2.22,6.65
AlphaPay,Vietnam,Can Tho,Thursday,5:00,VND,90.7,USD,82.45,0.82,2.47
GlobalMart,Italy,Verona,Saturday,13:00,EUR,192.82,GBP,226.85,2.27,6.81
PaySphere,Denmark,Aarhus,Wednesday,3:00,DKK,257.75,AED,63.64,0.64,1.91
QuickServe,Ireland,Galway,Saturday,13:00,EUR,252.92,GBP,297.55,2.98,8.93
FinEdge,Japan,Tokyo,Thursday,8:00,JPY,21.43,EUR,21.43,0.21,0.64
Transactly,Spain,Murcia,Monday,0:00,EUR,86.95,AED,21.47,0.21,0.64
Cashwave,USA,San Diego,Saturday,9:00,USD,218.49,AED,53.95,0.54,1.62
NeoCommerce,Italy,Rome,Saturday,18:00,EUR,2093.92,USD,1903.57,19.04,57.11
EuroLink,Spain,Barcelona,Wednesday,9:00,EUR,109.89,AUD,66.6,0.67,2
SmartFunds,France,Marseille,Wednesday,10:00,EUR,206.24,AED,50.92,0.51,1.53
TradeNova,South Africa,Pretoria,Thursday,19:00,ZAR,1094.32,EUR,1094.32,10.94,32.83
NovaPay,Denmark,Aarhus,Thursday,13:00,DKK,73.48,GBP,86.45,0.86,2.59
BuyNet,France,Nice,Wednesday,18:00,EUR,185.8,USD,168.91,1.69,5.07
FlexiPay,China,Shenzhen,Friday,11:00,CNY,394.75,USD,358.87,3.59,10.77
MerchantX,USA,Phoenix,Saturday,13:00,USD,429.46,AED,106.04,1.06,3.18
AlphaPay,Netherlands,Eindhoven,Tuesday,12:00,EUR,335.63,AUD,203.41,2.03,6.1
GlobalMart,Italy,Genoa,Saturday,7:00,EUR,413.21,USD,375.65,3.76,11.27
PaySphere,Sweden,Gothenburg,Sunday,21:00,SEK,469.25,USD,426.59,4.27,12.8
QuickServe,Italy,Florence,Sunday,23:00,EUR,420.46,AUD,254.82,2.55,7.64
